gene_ENS	gene_OTT	gene_name	logFC	unshrunk.logFC	logCPM	PValue	FDR	gl
ENSMUSG00000032359.14	OTTMUSG00000024409.4	Ctsh	0.0211265243463801	0.0211524041398552	1.44298200446395	0.981142324343465	1	Not regulated
ENSMUSG00000062270.14	OTTMUSG00000046589.3	Morf4l1	-0.234895046275571	-0.234895538166771	10.6703633588839	0.997263145066085	1	Not regulated
ENSMUSG00000096976.1	NA	Gm26882	0.0730484889856908	0.0733864952988615	-0.502748391118584	0.924468661239521	1	Not regulated
ENSMUSG00000096647.2	OTTMUSG00000046591.1	Gm6223	0.146873975247598	0.147042651090382	1.20072232548966	0.895718746904581	1	Not regulated
ENSMUSG00000032363.15	OTTMUSG00000025854.4	Adamts7	-0.0654774690238621	-0.0655201165697353	1.99432423965884	0.984994950532141	1	Not regulated
ENSMUSG00000037410.13	OTTMUSG00000031688.3	Tbc1d2b	0.698308969695485	0.727883879712471	-0.069665844232274	0.42662547355693	1	Not regulated
ENSMUSG00000074139.8	OTTMUSG00000022736.5	1700057G04Rik	-0.361169860460234	-0.361197727159667	4.71903078532605	0.807792568277597	1	Not regulated
ENSMUSG00000032374.14	OTTMUSG00000031153.3	Plod2	-0.198937505329493	-0.205027846886021	-0.00969259694096353	0.765188561392137	1	Not regulated
ENSMUSG00000100294.6	OTTMUSG00000045215.1	1700034K08Rik	0.00804119345960587	0.00804488087548267	2.02449737494526	0.998487338189697	1	Not regulated
ENSMUSG00000045414.7	OTTMUSG00000046987.1	1190002N15Rik	-0.0328107339265926	-0.032989671434159	1.11466504323544	0.974002375259735	1	Not regulated
ENSMUSG00000031129.9	OTTMUSG00000032832.2	Slc9a9	0.468408579792789	0.470180400114535	0.104083459578897	0.435334997183092	1	Not regulated
ENSMUSG00000032407.14	OTTMUSG00000047001.4	U2surp	-0.152669098555103	-0.152691697692976	5.38688895683707	0.999268534087419	1	Not regulated
ENSMUSG00000101037.1	OTTMUSG00000047002.1	Gm28424	-0.0841916122268282	-0.0846852994683872	0.7216492947474	0.888906734075248	1	Not regulated
ENSMUSG00000110827.1	OTTMUSG00000063250.1	Gm32281	-0.124884954967366	-0.125086173481391	0.52754881496795	0.836338015867367	1	Not regulated
ENSMUSG00000064225.6	OTTMUSG00000022621.3	Paqr9	-0.0954796280735163	-0.0954831451710632	5.92212909087642	0.931396879593035	1	Not regulated
ENSMUSG00000015354.8	OTTMUSG00000030790.1	Pcolce2	0.5356643474192	0.536931824192929	-0.233643909710956	0.308106458018598	1	Not regulated
ENSMUSG00000032839.13	OTTMUSG00000047293.4	Trpc1	0.491460466401877	0.492113401642058	2.4975535941736	0.360030812874755	1	Not regulated
ENSMUSG00000049493.13	OTTMUSG00000030784.2	Pls1	-0.0629629423159176	-0.063009857774308	2.13684107486214	0.994368397745677	1	Not regulated
ENSMUSG00000096655.2	OTTMUSG00000045263.1	1700065D16Rik	-0.143977065306106	-0.144032139876817	3.93021217976384	0.961687926138566	1	Not regulated
ENSMUSG00000032409.15	OTTMUSG00000047295.4	Atr	-0.0550442714676701	-0.0550451557073583	8.88855910946504	0.999653557445978	1	Not regulated
ENSMUSG00000097777.7	OTTMUSG00000047299.3	Gm16794	-0.466578216843151	-0.468621049825099	0.168642788851852	0.398745489299884	1	Not regulated
